name,description,link,coordinates,address,tags,type
Kennewick Community Services Office,a,https://www.dshs.wa.gov/location/dshs-cso-003,"[46.2227032,-119.2127365]","6909 Crosswind Blvd
Kennewick, WA 99336","food, cash, medical services ",Community Services Offices
Kennewick Child Support Office,a,fill,"[46.2227032, -119.2127365]","6909 Crosswind Blvd
Kennewick, WA 99336",child support,Community Services Offices
Home & Community Services - Kennewick Office,a,fill,"[46.216649, -119.246213]","7113 W Okanogan Pl
Kennewick, WA 99336",long-term care services ,Vocational and Social Services
Kennewick DDA Field Office,a,fill,"[46.224628, -119.133945]","500 N Morain St Suite 2210
Kennewick, WA 99336",disability support,Disability Services
Vocational Rehabilitation - Kennewick Office,a,fill,"[46.224628, -119.133945]","500 N Morain St Suite 2210
Kennewick, WA 99336-2950","Vocational rehabilitation,  Space rentals ",Disability Services
Richland Public Library,a,fill,"[46.307858, -119.287602]",955 Northgate Dr Richland WA 99352,"computer access, charging stations",Libraries
Goodwill Central Offices,a,https://goodwillotc.org/mission-services/,"[46.213978, -119.166141]","815 N. Kellogg St., Suite A
Kennewick, WA 99336","Vocational Rehabilitation, Social and Health ",Vocational and Social Services
Mid-Columbia Libraries - West Pasco Branch,a,https://midcolumbialibraries.org/branch/west-pasco,"[46.244072, -119.183267]"," 7525 Wrigley Dr, Pasco, WA 99301","computer access, charging stations",Libraries
Mid-Columbia Libraries - Kennewick Branch,a,https://midcolumbialibraries.org/branch/kennewick,"[46.197487, -119.147115]","1620 S Union St, Kennewick, WA 99338","computer access, charging stations",Libraries
Mid-Columbia Libraries - Keewaydin Park Branch,a,https://midcolumbialibraries.org/branch/keewaydin-park,"[46.203597, -119.121937]","405 S Dayton St, Kennewick, WA 99336","computer access, charging stations",Libraries
Columbia Basin College,a,https://www.columbiabasin.edu/connect/outreach-opportunities/outreach-recruitment.html,"[46.274447, -119.293545]","2600 N. 20th Ave., Pasco, WA 99301","computer access, charging stations",Educational Institutions
The Arc Tri-Cities,a,https://arcoftricities.com/about,"[46.250969, -119.229806]","1455 SE Fowler St
Richland, WA 99352",disability resources ,Disability Services
